A,B,C,D
5.878933158081087,7.549437818685884,5.012642439429385,5.4589034081765515
5.429306002019438,8.228995539125824,8.39103902690145,8.983626004559573
7.680389364437245,8.33250190984678,5.521864438488454,6.122672954010162
6.656606798720126,5.820317402651228,5.387407372024641,9.368039666021962
7.631482986908202,8.164415479374263,5.876868654526509,7.169996857873803
5.458921025440954,6.714673911126596,7.2036693874359505,6.950386916323853
6.706162405716951,6.508507158378261,9.520112633104109,9.084126466373215
7.028093701893922,9.02467035334816,7.53548846692331,8.856003517309798
5.557012695419908,9.815895826930495,7.261672927762245,7.2985602042732225
8.735759505291824,6.732859781135295,5.380576379493382,7.508361808603331
6.097539339493455,5.14773724615414,6.94076625069591,5.2152573604472865
8.094776069693511,5.284624238468879,6.561729658742679,6.757303746696483
8.399826877357558,8.453032119581923,8.428616988026244,7.993524675767601
8.060012647051744,8.176446408290214,9.909652456359378,5.501974453395345
9.221260098121817,5.935547940457742,7.651881242779647,7.55664721307236
6.061535823710898,5.770358524464263,6.656693499920335,7.349890899895801
6.393660858525268,5.369073435762996,5.7116684356696545,8.39950946469087
7.41491610816677,5.557194205829473,5.330833860020325,5.5740644558267585
8.489635530166845,8.33745248931252,5.678403311204573,5.316254462415177
6.87801617173592,8.199745711925665,6.088858019772319,9.46997690139903
7.766904529475537,7.9650794078574165,9.753313308940129,6.015735991795018
6.204335834864198,5.06931288188873,6.279788220471863,9.138364431504332
5.377663450880989,6.755996007400674,6.199356648481635,9.488939657241712
5.407614752682505,6.014122438916443,9.441446958119133,9.67093398403088
5.75668521098668,6.798149388660247,8.861923028145396,5.955514401411318
7.395319407354531,6.883825070734729,6.0117769737246824,8.367198453206525
8.629597795460814,7.897545055985878,6.220718368082271,9.60453005414279
9.841359130113865,6.0972897943526245,7.731227893202674,7.598185415637639
7.7212317552816225,8.557016939438446,7.961895250368308,8.89068782492072
8.283919397772038,7.965534963313431,5.541059220218091,9.340920177277873
9.353862343255418,8.924234250685792,7.534444687573744,7.756760949999358
5.564821520646323,6.68004340865871,6.4251741091298005,5.969028848972875
7.511673020477312,5.846525753470531,9.806955223491038,5.3308391093878935
7.801734702452176,5.996940569540849,5.074184611166725,9.707778977843113
5.990983078198977,9.407547901562532,8.826184097066378,7.030325368808613
9.828576224458043,7.9542525504539245,9.127731622308655,7.05254595629012
7.257009940866682,9.014749537006189,6.499622207719861,8.385386652978092
6.481195821018754,7.66720739156183,7.529528724986861,5.0252526169651315
9.584602983205112,9.01291901047106,5.733746665785234,8.414324822844712
5.188610580973491,9.749747729765893,6.252122178801533,5.132601106711709
5.795402405675135,5.637106913512181,6.02589750101364,7.10116533748497
6.0455159193635195,6.049910341278292,8.454112817404496,9.065716577938081
8.74415961388021,9.186333589530994,8.974095490974252,7.780765325137511
